SA2_CODE21,SA2_NAME21,CHG_FLAG21,CHG_LBL21,SA3_CODE21,SA3_NAME21,SA4_CODE21,SA4_NAME21,GCC_CODE21,GCC_NAME21,STE_CODE21,STE_NAME21,AUS_CODE21,AUS_NAME21,AREASQKM21,LOCI_URI21,WKT
101021007,Braidwood,0,No change,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,3418.3525,http://linked.data.gov.au/dataset/asgsed3/SA2/101021007,"POLYGON ((149.760654 -35.083465, 149.731305 -35.125065, 149.667707 -35.117542, 149.657685 -35.172926, 149.672493 -35.198733, 149.658977 -35.236047, 149.644756 -35.234092, 149.627592 -35.320743, 149.645411 -35.323197, 149.63515 -35.328735, 149.647156 -35.344918, 149.62597 -35.379802, 149.60452 -35.379269, 149.596682 -35.438795, 149.569435 -35.469684, 149.589573 -35.493582, 149.514775 -35.523425, 149.498241 -35.620172, 149.522856 -35.716791, 149.523483 -35.815314, 149.496486 -35.814238, 149.485456 -35.862654, 149.515057 -35.896516, 149.51944 -35.982067, 149.562228 -35.984158, 149.56838 -36.008749, 149.620524 -35.962038, 149.66068 -35.986686, 149.67986 -35.981445, 149.693928 -35.908256, 149.67869 -35.866012, 149.686207 -35.80118, 149.7093 -35.784174, 149.759606 -35.794103, 149.81742 -35.753907, 149.829834 -35.721398, 149.862621 -35.713794, 149.935117 -35.610865, 149.929911 -35.565373, 149.948205 -35.561825, 149.964051 -35.500774, 149.979012 -35.502447, 150.002983 -35.473712, 150.007835 -35.428167, 150.038456 -35.405718, 150.051058 -35.309053, 150.164375 -35.269765, 150.168689 -35.239239, 150.197934 -35.229462, 150.186151 -35.200058, 150.215667 -35.200971, 150.203927 -35.170687, 150.141648 -35.144447, 150.129409 -35.09707, 150.072457 -35.0509, 150.051915 -35.007263, 150.024134 -35.003454, 150.02928 -35.053225, 150.010789 -35.067747, 149.912706 -35.055475, 149.868383 -35.112756, 149.849665 -35.089134, 149.799431 -35.077216, 149.798948 -35.064346, 149.777129 -35.063675, 149.781233 -35.077916, 149.760654 -35.083465))"
101021008,Karabar,0,No change,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,6.9825,http://linked.data.gov.au/dataset/asgsed3/SA2/101021008,"POLYGON ((149.21921 -35.360102, 149.218 -35.384896, 149.256275 -35.390137, 149.238779 -35.362249, 149.21921 -35.360102))"
101021009,Queanbeyan,0,No change,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,4.762,http://linked.data.gov.au/dataset/asgsed3/SA2/101021009,"POLYGON ((149.231485 -35.342244, 149.206467 -35.34586, 149.21921 -35.360102, 149.238779 -35.362249, 149.231553 -35.342206, 149.231485 -35.342244))"
101021010,Queanbeyan - East,0,No change,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,13.0032,http://linked.data.gov.au/dataset/asgsed3/SA2/101021010,"POLYGON ((149.231553 -35.342206, 149.238779 -35.362249, 149.256275 -35.390137, 149.269615 -35.335145, 149.241491 -35.336668, 149.231553 -35.342206))"
101021012,Queanbeyan West - Jerrabomberra,0,No change,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,13.6748,http://linked.data.gov.au/dataset/asgsed3/SA2/101021012,"POLYGON ((149.206467 -35.34586, 149.19083 -35.368841, 149.177799 -35.385079, 149.205795 -35.407601, 149.218 -35.384896, 149.21921 -35.360102, 149.206467 -35.34586))"
101021610,Googong,1,New,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,6.9164,http://linked.data.gov.au/dataset/asgsed3/SA2/101021610,"POLYGON ((149.215844 -35.437988, 149.238223 -35.440942, 149.254091 -35.426042, 149.221897 -35.41697, 149.215844 -35.437988))"
101021611,Queanbeyan Surrounds,1,New,10102,Queanbeyan,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,3047.7057,http://linked.data.gov.au/dataset/asgsed3/SA2/101021611,"POLYGON ((149.269615 -35.335145, 149.256275 -35.390137, 149.218 -35.384896, 149.205795 -35.407601, 149.177799 -35.385079, 149.152421 -35.410662, 149.138171 -35.429711, 149.15302 -35.442438, 149.135098 -35.454021, 149.151616 -35.493187, 149.131459 -35.55359, 149.142687 -35.592776, 149.108351 -35.583967, 149.078002 -35.587998, 149.109423 -35.696573, 149.097271 -35.777314, 149.134898 -35.758433, 149.130433 -35.814609, 149.256488 -35.83799, 149.257525 -35.859842, 149.280856 -35.847934, 149.296432 -35.85939, 149.305806 -35.812406, 149.27884 -35.808762, 149.280863 -35.795221, 149.325829 -35.785902, 149.380558 -35.796611, 149.387302 -35.840819, 149.45569 -35.839488, 149.485456 -35.862654, 149.496486 -35.814238, 149.523483 -35.815314, 149.522856 -35.716791, 149.498241 -35.620172, 149.514775 -35.523425, 149.589573 -35.493582, 149.569435 -35.469684, 149.596682 -35.438795, 149.60452 -35.379269, 149.62597 -35.379802, 149.647156 -35.344918, 149.63515 -35.328735, 149.645411 -35.323197, 149.627592 -35.320743, 149.644756 -35.234092, 149.658977 -35.236047, 149.672493 -35.198733, 149.657685 -35.172926, 149.667707 -35.117542, 149.731305 -35.125065, 149.760654 -35.083465, 149.74974 -35.07308, 149.7471 -35.086614, 149.721475 -35.084434, 149.723761 -35.073602, 149.686307 -35.073118, 149.652675 -35.050587, 149.655418 -35.064378, 149.624001 -35.067984, 149.619037 -35.089398, 149.584466 -35.026152, 149.47817 -35.051098, 149.450725 -35.028985, 149.420235 -35.03263, 149.410461 -34.990154, 149.387638 -34.980306, 149.370884 -35.107005, 149.298865 -35.173251, 149.234339 -35.181628, 149.200707 -35.205398, 149.200702 -35.205553, 149.204992 -35.229087, 149.238703 -35.222215, 149.234379 -35.242779, 149.262709 -35.258204, 149.274382 -35.274904, 149.341504 -35.28669, 149.361671 -35.309012, 149.394791 -35.303176, 149.399293 -35.319077, 149.351452 -35.351238, 149.269615 -35.335145), (149.215844 -35.437988, 149.221897 -35.41697, 149.254091 -35.426042, 149.238223 -35.440942, 149.215844 -35.437988))"
101031013,Bombala,0,No change,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,3990.144,http://linked.data.gov.au/dataset/asgsed3/SA2/101031013,"POLYGON ((148.422011 -36.888854, 149.356277 -37.262752, 149.316598 -37.210846, 149.320497 -37.178639, 149.340171 -37.169862, 149.334113 -37.156897, 149.365411 -37.11255, 149.40117 -37.09575, 149.397912 -37.020631, 149.417815 -37.001862, 149.394762 -37.001744, 149.399238 -36.981777, 149.3817 -36.975018, 149.382631 -36.928852, 149.4736 -36.945584, 149.481895 -36.92331, 149.45667 -36.909785, 149.459533 -36.894811, 149.470418 -36.903151, 149.485827 -36.888988, 149.496713 -36.909257, 149.520357 -36.86044, 149.503983 -36.822678, 149.48458 -36.819294, 149.485554 -36.789458, 149.437519 -36.774358, 149.458252 -36.736198, 149.459521 -36.711066, 149.438815 -36.701042, 149.457998 -36.686964, 149.460911 -36.64654, 149.41011 -36.642232, 149.357472 -36.636166, 149.349817 -36.602295, 149.328116 -36.607815, 149.322626 -36.633089, 149.290389 -36.628921, 149.299275 -36.594964, 149.285433 -36.572321, 149.278406 -36.567225, 149.2034 -36.582518, 149.185434 -36.564462, 149.158819 -36.56681, 149.138942 -36.592124, 149.091977 -36.584934, 149.078789 -36.607371, 149.012281 -36.559074, 149.009485 -36.572052, 148.972144 -36.574294, 148.964556 -36.595492, 148.966714 -36.623093, 148.943013 -36.647378, 148.950603 -36.695651, 148.938362 -36.718803, 148.958747 -36.795482, 148.981594 -36.819001, 148.956759 -36.838372, 148.93733 -36.844207, 148.91558 -36.82353, 148.890157 -36.843071, 148.857813 -36.82906, 148.841939 -36.799596, 148.829131 -36.811531, 148.790005 -36.789212, 148.741914 -36.794113, 148.746384 -36.771197, 148.707699 -36.765866, 148.706457 -36.738061, 148.633586 -36.725498, 148.629007 -36.690597, 148.59607 -36.660236, 148.527487 -36.749093, 148.487396 -36.765848, 148.443749 -36.754088, 148.423452 -36.768114, 148.395233 -36.819819, 148.422011 -36.888854))"
101031014,Cooma,0,No change,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,103.6371,http://linked.data.gov.au/dataset/asgsed3/SA2/101031014,"POLYGON ((149.062508 -36.295153, 149.145758 -36.307667, 149.152034 -36.27606, 149.165895 -36.277938, 149.172128 -36.190525, 149.105225 -36.195345, 149.084152 -36.240636, 149.049503 -36.246613, 149.071772 -36.255951, 149.049421 -36.263865, 149.062508 -36.295153))"
101031015,Cooma Surrounds,3,Name change,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,6251.0158,http://linked.data.gov.au/dataset/asgsed3/SA2/101031015,"POLYGON ((148.551239 -36.104206, 148.554633 -36.146851, 148.622108 -36.165531, 148.621092 -36.13674, 148.603709 -36.138231, 148.639737 -36.120401, 148.622184 -36.104317, 148.632187 -36.089237, 148.65515 -36.111833, 148.656117 -36.078184, 148.680387 -36.087967, 148.690663 -36.066848, 148.700248 -36.076757, 148.710726 -36.064088, 148.720138 -36.071366, 148.705583 -36.076039, 148.692945 -36.126503, 148.707711 -36.116027, 148.714228 -36.131838, 148.733992 -36.132156, 148.741878 -36.161772, 148.75722 -36.148765, 148.786544 -36.20191, 148.813489 -36.175742, 148.872852 -36.186602, 148.869233 -36.205517, 148.89926 -36.218876, 148.896105 -36.259305, 148.923515 -36.262711, 148.912942 -36.283276, 148.973672 -36.316184, 148.924832 -36.342162, 148.932576 -36.375362, 148.908891 -36.399346, 148.92717 -36.402931, 148.925951 -36.4357, 148.905199 -36.4264, 148.909191 -36.442553, 148.870945 -36.487611, 148.920795 -36.511247, 148.911451 -36.524017, 148.930233 -36.526864, 148.904051 -36.543175, 148.964556 -36.595492, 148.972144 -36.574294, 149.009485 -36.572052, 149.012281 -36.559074, 149.078789 -36.607371, 149.091977 -36.584934, 149.138942 -36.592124, 149.158819 -36.56681, 149.185434 -36.564462, 149.2034 -36.582518, 149.278406 -36.567225, 149.285433 -36.572321, 149.299275 -36.594964, 149.290389 -36.628921, 149.322626 -36.633089, 149.328116 -36.607815, 149.349817 -36.602295, 149.357472 -36.636166, 149.41011 -36.642232, 149.396909 -36.611981, 149.412635 -36.578967, 149.438237 -36.5814, 149.46606 -36.537498, 149.522152 -36.544866, 149.526716 -36.512719, 149.468382 -36.507688, 149.457187 -36.485219, 149.484481 -36.429798, 149.543914 -36.394729, 149.551652 -36.310329, 149.524032 -36.286094, 149.537762 -36.237597, 149.524262 -36.23585, 149.569831 -36.202081, 149.58341 -36.142677, 149.543029 -36.107224, 149.583731 -36.08097, 149.56838 -36.008749, 149.562228 -35.984158, 149.51944 -35.982067, 149.515057 -35.896516, 149.485456 -35.862654, 149.45569 -35.839488, 149.387302 -35.840819, 149.380558 -35.796611, 149.325829 -35.785902, 149.280863 -35.795221, 149.27884 -35.808762, 149.305806 -35.812406, 149.296432 -35.85939, 149.280856 -35.847934, 149.257525 -35.859842, 149.256488 -35.83799, 149.130433 -35.814609, 149.134898 -35.758433, 149.097271 -35.777314, 149.095693 -35.845624, 149.064289 -35.874934, 149.046386 -35.920517, 149.0124 -35.899611, 148.961605 -35.896708, 148.909451 -35.853061, 148.886684 -35.810051, 148.903325 -35.757924, 148.886711 -35.719226, 148.872491 -35.721415, 148.857529 -35.761445, 148.804152 -35.714006, 148.782034 -35.736635, 148.751224 -35.685562, 148.638122 -35.649394, 148.628386 -35.688187, 148.588348 -35.717874, 148.594285 -35.742832, 148.539364 -35.740869, 148.53166 -35.719841, 148.446928 -35.859198, 148.438318 -35.898886, 148.471358 -35.915019, 148.468893 -35.941855, 148.535138 -36.000036, 148.560945 -36.004319, 148.553816 -36.041172, 148.570372 -36.065699, 148.551239 -36.104206), (149.062508 -36.295153, 149.049421 -36.263865, 149.071772 -36.255951, 149.049503 -36.246613, 149.084152 -36.240636, 149.105225 -36.195345, 149.172128 -36.190525, 149.165895 -36.277938, 149.152034 -36.27606, 149.145758 -36.307667, 149.062508 -36.295153))"
101031016,Jindabyne - Berridale,0,No change,10103,Snowy Mountains,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,3939.7888,http://linked.data.gov.au/dataset/asgsed3/SA2/101031016,"POLYGON ((148.551239 -36.104206, 148.512953 -36.087686, 148.459843 -36.118437, 148.460985 -36.144898, 148.427875 -36.176822, 148.438324 -36.186366, 148.424636 -36.209793, 148.431008 -36.256896, 148.396422 -36.290586, 148.372919 -36.288034, 148.367318 -36.339569, 148.287656 -36.409274, 148.263422 -36.452427, 148.270565 -36.482111, 148.247144 -36.509752, 148.261066 -36.527305, 148.250414 -36.54371, 148.311301 -36.595627, 148.304951 -36.610584, 148.249959 -36.625506, 148.239107 -36.664075, 148.251375 -36.706022, 148.23865 -36.70643, 148.232596 -36.746475, 148.207525 -36.75504, 148.20071 -36.798624, 148.251252 -36.819253, 148.422011 -36.888854, 148.395233 -36.819819, 148.423452 -36.768114, 148.443749 -36.754088, 148.487396 -36.765848, 148.527487 -36.749093, 148.59607 -36.660236, 148.629007 -36.690597, 148.633586 -36.725498, 148.706457 -36.738061, 148.707699 -36.765866, 148.746384 -36.771197, 148.741914 -36.794113, 148.790005 -36.789212, 148.829131 -36.811531, 148.841939 -36.799596, 148.857813 -36.82906, 148.890157 -36.843071, 148.91558 -36.82353, 148.93733 -36.844207, 148.956759 -36.838372, 148.981594 -36.819001, 148.958747 -36.795482, 148.938362 -36.718803, 148.950603 -36.695651, 148.943013 -36.647378, 148.966714 -36.623093, 148.964556 -36.595492, 148.904051 -36.543175, 148.930233 -36.526864, 148.911451 -36.524017, 148.920795 -36.511247, 148.870945 -36.487611, 148.909191 -36.442553, 148.905199 -36.4264, 148.925951 -36.4357, 148.92717 -36.402931, 148.908891 -36.399346, 148.932576 -36.375362, 148.924832 -36.342162, 148.973672 -36.316184, 148.912942 -36.283276, 148.923515 -36.262711, 148.896105 -36.259305, 148.89926 -36.218876, 148.869233 -36.205517, 148.872852 -36.186602, 148.813489 -36.175742, 148.786544 -36.20191, 148.75722 -36.148765, 148.741878 -36.161772, 148.733992 -36.132156, 148.714228 -36.131838, 148.707711 -36.116027, 148.692945 -36.126503, 148.705583 -36.076039, 148.720138 -36.071366, 148.710726 -36.064088, 148.700248 -36.076757, 148.690663 -36.066848, 148.680387 -36.087967, 148.656117 -36.078184, 148.65515 -36.111833, 148.632187 -36.089237, 148.622184 -36.104317, 148.639737 -36.120401, 148.603709 -36.138231, 148.621092 -36.13674, 148.622108 -36.165531, 148.554633 -36.146851, 148.551239 -36.104206))"
101041017,Batemans Bay,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,63.7073,http://linked.data.gov.au/dataset/asgsed3/SA2/101041017,"POLYGON ((150.259082 -35.717689, 150.265749 -35.686293, 150.218102 -35.679326, 150.226951 -35.668813, 150.176086 -35.678268, 150.146132 -35.657252, 150.122561 -35.669958, 150.136311 -35.737903, 150.137832 -35.72716, 150.18734 -35.745217, 150.197755 -35.723847, 150.177268 -35.703063, 150.233856 -35.702897, 150.259082 -35.717689))"
101041018,Batemans Bay - South,0,No change,10104,South Coast,101,Capital Region,1RNSW,Rest of NSW,1,New South Wales,AUS,Australia,30.5948,http://linked.data.gov.au/dataset/asgsed3/SA2/101041018,"MULTIPOLYGON (((150.211942 -35.725201, 150.21258 -35.725802, 150.213062 -35.724822, 150.212499 -35.724774, 150.211942 -35.725201)), ((150.212952 -35.724317, 150.213142 -35.724256, 150.213164 -35.724166, 150.212913 -35.724209, 150.212952 -35.724317)), ((150.233643 -35.818521, 150.235142 -35.818906, 150.237429 -35.817803, 150.233996 -35.816809, 150.233643 -35.818521)), ((150.260352 -35.747694, 150.259589 -35.749336, 150.260777 -35.751332, 150.262327 -35.748498, 150.260352 -35.747694)), ((150.214511 -35.735862, 150.214288 -35.735806, 150.214088 -35.735986, 150.214413 -35.736157, 150.214511 -35.735862)), ((150.258458 -35.75146, 150.257012 -35.748944, 150.255385 -35.751723, 150.257521 -35.753171, 150.258458 -35.75146)), ((150.18734 -35.745217, 150.198714 -35.815087, 150.204888 -35.830714, 150.235283 -35.835514, 150.224196 -35.808736, 150.237384 -35.791926, 150.197755 -35.723847, 150.18734 -35.745217)))"
